#Date;Libelle;EquipeA;EquipeB;ScoreA;ScoreB
2016-06-10;Groupe A;France;Roumanie;2;1
2016-06-11;Groupe A;Albanie;Suisse;0;1
2016-06-11;Groupe B;Galles;Slovaquie;2;1
2016-06-11;Groupe B;Angleterre;Russie;1;1
2016-06-12;Groupe D;Turquie;Croatie;0;1
2016-06-12;Groupe C;Pologne;Irlande du Nord;1;0
2016-06-12;Groupe C;Allemagne;Ukraine;2;0
2016-06-13;Groupe D;Espagne;République Tchèque;1;0
2016-06-13;Groupe E;Irlande;Suède;1;1
2016-06-13;Groupe E;Belgique;Italie;0;2
2016-06-14;Groupe F;Autriche;Hongrie;0;2
2016-06-14;Groupe F;Portugal;Islande;1;1
2016-06-15;Groupe B;Russie;Slovaquie;1;2
2016-06-15;Groupe A;Roumanie;Suisse;1;1
2016-06-15;Groupe A;France;Albanie;2;0
2016-06-16;Groupe B;Angleterre;Galles;2;1
2016-06-16;Groupe C;Ukraine;Irlande du Nord;0;2
2016-06-16;Groupe C;Allemagne;Pologne;0;0
2016-06-17;Groupe E;Italie;Suède;1;0
2016-06-17;Groupe D;République Tchèque;Croatie;2;2
2016-06-17;Groupe D;Espagne;Turquie;3;0
2016-06-18;Groupe E;Belgique;Irlande;;
2016-06-18;Groupe F;Islande;Hongrie;;
2016-06-18;Groupe F;Portugal;Autriche;;
2016-06-19;Groupe A;Roumanie;Albanie;;
2016-06-19;Groupe A;Suisse;France;;
2016-06-20;Groupe B;Russie;Galles;;
2016-06-20;Groupe B;Slovaquie;Angleterre;;
2016-06-21;Groupe C;Ukraine;Pologne;;
2016-06-21;Groupe C;Irlande du Nord;Allemagne;;
2016-06-21;Groupe D;République Tchèque;Turquie;;
2016-06-21;Groupe D;Croatie;Espagne;;
2016-06-22;Groupe F;Islande;Autriche;;
2016-06-22;Groupe F;Hongrie;Portugal;;
2016-06-22;Groupe E;Italie;Irlande;;
2016-06-22;Groupe E;Suède;Belgique;;
2016-06-25;8ème de Finale;;;;
2016-06-25;8ème de Finale;;;;
2016-06-25;8ème de Finale;;;;
2016-06-26;8ème de Finale;;;;
2016-06-26;8ème de Finale;;;;
2016-06-26;8ème de Finale;;;;
2016-06-27;8ème de Finale;;;;
2016-06-27;8ème de Finale;;;;
2016-06-30;Quarts de Finale;;;;
2016-07-01;Quarts de Finale;;;;
2016-07-02;Quarts de Finale;;;;
2016-07-03;Quarts de Finale;;;;
2016-07-06;Demi-finales;;;;
2016-07-07;Demi-finales;;;;
2016-07-10;Finale;;;;
